边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 

轨 : 骤 0 | 叫 1 | 逢 2 | 妈 3 | 夏 4 | 琛 5 | 汗 6 | 截 7 | 晴 8 | 烨 9 | 偏 10 | 凌 11 | 妥 12 | 封 13 | 朋 14 | 辈 15 | 郜 16 | 季 17 | 振 18 | 愫 19 | 

赡 : 彳 0 | 洵 1 | 殇 2 | 噘 3 | 黠 4 | 抿 5 | 躅 6 | 驸 7 | 瘙 8 | 蜥 9 | 侩 10 | 嗉 11 | 彀 12 | 廛 13 | 疴 14 | 穑 15 | 疱 16 | 哐 17 | 鲩 18 | 墉 19 | 

冒 : 朋 0 | 汗 1 | 袭 2 | 振 3 | 杂 4 | 烨 5 | 俱 6 | 骤 7 | 夏 8 | 树 9 | 寨 10 | 韦 11 | 曼 12 | 晴 13 | 贝 14 | 愫 15 | 驻 16 | 逢 17 | 貂 18 | 摈 19 | 

暂 : 截 0 | 琛 1 | 骤 2 | 乃 3 | 妥 4 | 逢 5 | 夏 6 | 偏 7 | 封 8 | 晴 9 | 辈 10 | 汗 11 | 浙 12 | 驻 13 | 烨 14 | 敢 15 | 避 16 | 朋 17 | 凌 18 | 树 19 | 

烽 : 烨 0 | 愫 1 | 昶 2 | 摈 3 | 貂 4 | 酗 5 | 酚 6 | 蓦 7 | 姹 8 | 挛 9 | 圄 10 | 唆 11 | 鲈 12 | 匍 13 | 鲲 14 | 醚 15 | 茭 16 | 偬 17 | 葳 18 | 骁 19 | 

浩 : 谶 0 | 撅 1 | 遑 2 | 绾 3 | 忪 4 | 铩 5 | 笈 6 | 锗 7 | 讣 8 | 扪 9 | 桀 10 | 诒 11 | 喱 12 | 苋 13 | 饧 14 | 跫 15 | 缱 16 | 氵 17 | 耷 18 | 鹚 19 | 

羞 : 烨 0 | 愫 1 | 貂 2 | 摈 3 | 昶 4 | 酗 5 | 酚 6 | 蓦 7 | 姹 8 | 匍 9 | 挛 10 | 唆 11 | 圄 12 | 鲈 13 | 鲲 14 | 偬 15 | 醚 16 | 葳 17 | 茭 18 | 銮 19 | 

侮 : 貂 0 | 烨 1 | 摈 2 | 愫 3 | 酗 4 | 酚 5 | 蓦 6 | 昶 7 | 姹 8 | 匍 9 | 挛 10 | 唆 11 | 圄 12 | 鲈 13 | 偬 14 | 诽 15 | 鲲 16 | 葳 17 | 醚 18 | 銮 19 | 

糟 : 烨 0 | 貂 1 | 摈 2 | 酗 3 | 昶 4 | 酚 5 | 蓦 6 | 姹 7 | 匍 8 | 圄 9 | 唆 10 | 鲈 11 | 偬 12 | 鲲 13 | 诽 14 | 醚 15 | 葳 16 | 茭 17 | 銮 18 | 啾 19 | 

触 : 歧 0 | 逢 1 | 胞 2 | 夏 3 | 昶 4 | 季 5 | 伐 6 | 汗 7 | 袭 8 | 寨 9 | 摈 10 | 振 11 | 貂 12 | 杂 13 | 酚 14 | 酗 15 | 树 16 | 凌 17 | 蓦 18 | 姹 19 | 

乏 : 歧 0 | 械 1 | 责 2 | 彻 3 | 析 4 | 乏 5 | 胞 6 | 署 7 | 献 8 | 士 9 | 伐 10 | 幕 11 | 易 12 | 头 13 | 境 14 | 请 15 | 钦 16 | 握 17 | 岸 18 | 富 19 | 

末 : 逢 0 | 夏 1 | 歧 2 | 季 3 | 汗 4 | 寨 5 | 伐 6 | 振 7 | 凌 8 | 杂 9 | 袭 10 | 树 11 | 债 12 | 晴 13 | 辈 14 | 胞 15 | 昶 16 | 封 17 | 酗 18 | 酚 19 | 

蚌 : 碉 0 | 岷 1 | 岫 2 | 蔺 3 | 糅 4 | 钒 5 | 糠 6 | 孽 7 | 脓 8 | 荤 9 | 漱 10 | 隽 11 | 钎 12 | 蹭 13 | 谑 14 | 窿 15 | 觞 16 | 菩 17 | 楣 18 | 耙 19 | 

膛 : 珑 0 | 薹 1 | 瑜 2 | 胺 3 | 殃 4 | 檀 5 | 炙 6 | 擎 7 | 岌 8 | 驴 9 | 兀 10 | 莺 11 | 狸 12 | 钵 13 | 抠 14 | 嘘 15 | 瀛 16 | 梓 17 | 褥 18 | 喃 19 | 

瓣 : 昶 0 | 酚 1 | 酗 2 | 姹 3 | 鲈 4 | 圄 5 | 鲲 6 | 唆 7 | 匍 8 | 醚 9 | 茭 10 | 偬 11 | 葳 12 | 骁 13 | 橇 14 | 啾 15 | 銮 16 | 勰 17 | 躏 18 | 诽 19 | 

踮 : 碓 0 | 酩 1 | 苕 2 | 鳅 3 | 祢 4 | 翊 5 | 孑 6 | 躏 7 | 啜 8 | 朊 9 | 焖 10 | 炀 11 | 芊 12 | 悌 13 | 娲 14 | 啾 15 | 殍 16 | 奂 17 | 锃 18 | 懑 19 | 

菩 : 钛 0 | 珞 1 | 遒 2 | 攥 3 | 槌 4 | 辫 5 | 翡 6 | 釜 7 | 濮 8 | 嘶 9 | 鳖 10 | 玷 11 | 镍 12 | 戛 13 | 撇 14 | 撮 15 | 笙 16 | 掰 17 | 掂 18 | 掖 19 | 

叽 : 酗 0 | 酚 1 | 昶 2 | 姹 3 | 匍 4 | 圄 5 | 鲈 6 | 唆 7 | 鲲 8 | 偬 9 | 醚 10 | 茭 11 | 葳 12 | 诽 13 | 骁 14 | 啾 15 | 銮 16 | 嗔 17 | 橇 18 | 芊 19 | 

赅 : 攥 0 | 濮 1 | 钠 2 | 镍 3 | 惭 4 | 玷 5 | 珩 6 | 喋 7 | 撮 8 | 亘 9 | 戛 10 | 芷 11 | 裘 12 | 嘶 13 | 梵 14 | 炖 15 | 罔 16 | 羌 17 | 赳 18 | 孢 19 | 

腈 : 槌 0 | 撇 1 | 掰 2 | 阙 3 | 珞 4 | 箫 5 | 臼 6 | 糠 7 | 辫 8 | 砭 9 | 耙 10 | 钎 11 | 粕 12 | 蹭 13 | 蔺 14 | 戛 15 | 懵 16 | 淅 17 | 叽 18 | 锨 19 | 

龚 : 昶 0 | 酗 1 | 酚 2 | 姹 3 | 唆 4 | 圄 5 | 匍 6 | 偬 7 | 鲈 8 | 鲲 9 | 袭 10 | 銮 11 | 醚 12 | 骁 13 | 葳 14 | 茭 15 | 橇 16 | 诽 17 | 啾 18 | 躏 19 | 

浸 : 淤 0 | 烦 1 | 翠 2 | 酿 3 | 擦 4 | 藤 5 | 恋 6 | 拾 7 | 裹 8 | 浊 9 | 吓 10 | 猫 11 | 斥 12 | 柔 13 | 雀 14 | 尾 15 | 恨 16 | 冻 17 | 饿 18 | 颂 19 | 

霓 : 蜕 0 | 逍 1 | 眩 2 | 瑕 3 | 臧 4 | 趴 5 | 亘 6 | 篝 7 | 唁 8 | 撩 9 | 蝗 10 | 蛀 11 | 裘 12 | 鳖 13 | 怅 14 | 梵 15 | 遒 16 | 掂 17 | 镍 18 | 喋 19 | 

偕 : 酗 0 | 酚 1 | 姹 2 | 圄 3 | 匍 4 | 鲈 5 | 鲲 6 | 茭 7 | 偬 8 | 醚 9 | 骁 10 | 葳 11 | 銮 12 | 橇 13 | 啾 14 | 诽 15 | 勰 16 | 芊 17 | 躏 18 | 嗔 19 | 

禹 : 芝 0 | 藤 1 | 翠 2 | 瑰 3 | 卵 4 | 裤 5 | 禹 6 | 苑 7 | 兔 8 | 雀 9 | 裹 10 | 罩 11 | 衫 12 | 擦 13 | 蜜 14 | 吟 15 | 硫 16 | 瑟 17 | 蜂 18 | 毯 19 | 

缅 : 酚 0 | 姹 1 | 匍 2 | 圄 3 | 偬 4 | 鲈 5 | 诽 6 | 嗔 7 | 啾 8 | 鲲 9 | 醚 10 | 葳 11 | 銮 12 | 茭 13 | 芊 14 | 躏 15 | 孑 16 | 骁 17 | 翊 18 | 朊 19 | 

哇 : 酚 0 | 姹 1 | 圄 2 | 匍 3 | 鲈 4 | 醚 5 | 茭 6 | 葳 7 | 骁 8 | 橇 9 | 銮 10 | 啾 11 | 诽 12 | 勰 13 | 翊 14 | 芊 15 | 躏 16 | 嗔 17 | 恿 18 | 孑 19 | 

颍 : 酚 0 | 姹 1 | 圄 2 | 鲈 3 | 匍 4 | 茭 5 | 醚 6 | 葳 7 | 橇 8 | 啾 9 | 勰 10 | 躏 11 | 翊 12 | 诽 13 | 芊 14 | 恿 15 | 嗔 16 | 焖 17 | 孑 18 | 朊 19 | 

漱 : 嵘 0 | 鹜 1 | 孢 2 | 偎 3 | 葩 4 | 屉 5 | 捺 6 | 徨 7 | 轶 8 | 鸫 9 | 娣 10 | 淇 11 | 迤 12 | 怅 13 | 狡 14 | 吭 15 | 簌 16 | 啪 17 | 喋 18 | 镛 19 | 

焖 : 蔺 0 | 钎 1 | 岫 2 | 耙 3 | 糠 4 | 撇 5 | 蹭 6 | 荤 7 | 觞 8 | 掰 9 | 漱 10 | 懵 11 | 阙 12 | 孽 13 | 叽 14 | 獭 15 | 偕 16 | 霆 17 | 砭 18 | 窿 19 | 

将 : 驻 0 | 等 1 | 核 2 | 将 3 | 已 4 | 落 5 | 了 6 | 得 7 | 头 8 | 班 9 | 汗 10 | 寨 11 | 树 12 | 志 13 | 社 14 | 振 15 | 挑 16 | 亚 17 | 杯 18 | 胞 19 | 

次 : 岸 0 | 边 1 | 幕 2 | 批 3 | 笔 4 | 季 5 | 点 6 | 乏 7 | 请 8 | 约 9 | 求 10 | 取 11 | 头 12 | 析 13 | 面 14 | 握 15 | 要 16 | 则 17 | 望 18 | 振 19 | 

目 : 约 0 | 债 1 | 树 2 | 杂 3 | 商 4 | 任 5 | 袭 6 | 密 7 | 振 8 | 志 9 | 季 10 | 亚 11 | 运 12 | 胞 13 | 伐 14 | 富 15 | 班 16 | 头 17 | 价 18 | 边 19 | 

价 : 杂 0 | 袭 1 | 树 2 | 俱 3 | 振 4 | 亚 5 | 债 6 | 仪 7 | 班 8 | 偏 9 | 铁 10 | 运 11 | 汽 12 | 封 13 | 季 14 | 挑 15 | 贝 16 | 核 17 | 晴 18 | 曼 19 | 

入 : 责 0 | 头 1 | 彻 2 | 幕 3 | 乏 4 | 士 5 | 析 6 | 请 7 | 点 8 | 胞 9 | 岸 10 | 望 11 | 富 12 | 署 13 | 献 14 | 约 15 | 械 16 | 边 17 | 志 18 | 易 19 | 

土 : 空 0 | 伤 1 | 歌 2 | 城 3 | 宝 4 | 土 5 | 甲 6 | 压 7 | 野 8 | 勤 9 | 皮 10 | 死 11 | 血 12 | 灵 13 | 浩 14 | 庄 15 | 图 16 | 抵 17 | 皇 18 | 泡 19 | 

帅 : 菌 0 | 翠 1 | 衔 2 | 虐 3 | 衫 4 | 藤 5 | 裹 6 | 颂 7 | 卵 8 | 渣 9 | 苑 10 | 绎 11 | 潭 12 | 夷 13 | 虹 14 | 殿 15 | 梯 16 | 浊 17 | 裤 18 | 勋 19 | 

幻 : 叠 0 | 柔 1 | 抄 2 | 蜂 3 | 扯 4 | 谦 5 | 鬼 6 | 缠 7 | 嫁 8 | 桔 9 | 幻 10 | 抹 11 | 垂 12 | 蜜 13 | 稀 14 | 粪 15 | 晃 16 | 哗 17 | 呵 18 | 兔 19 | 

馈 : 沛 0 | 崖 1 | 焰 2 | 渣 3 | 潭 4 | 裹 5 | 穴 6 | 冕 7 | 衫 8 | 浊 9 | 秆 10 | 啸 11 | 荫 12 | 楠 13 | 纂 14 | 苑 15 | 鹤 16 | 纱 17 | 痪 18 | 雀 19 | 

忱 : 娅 0 | 擂 1 | 迢 2 | 窘 3 | 甬 4 | 侮 5 | 榻 6 | 涅 7 | 诠 8 | 湃 9 | 潢 10 | 帧 11 | 侗 12 | 璐 13 | 摒 14 | 琉 15 | 咆 16 | 苛 17 | 镌 18 | 彬 19 | 

睹 : 姹 0 | 匍 1 | 圄 2 | 鲈 3 | 诽 4 | 醚 5 | 嗔 6 | 葳 7 | 勰 8 | 芊 9 | 橇 10 | 躏 11 | 孑 12 | 朊 13 | 恿 14 | 焖 15 | 幛 16 | 悌 17 | 奂 18 | 祢 19 | 

铅 : 姹 0 | 匍 1 | 圄 2 | 鲈 3 | 醚 4 | 葳 5 | 诽 6 | 嗔 7 | 芊 8 | 勰 9 | 橇 10 | 躏 11 | 孑 12 | 恿 13 | 朊 14 | 焖 15 | 苕 16 | 幛 17 | 奂 18 | 祢 19 | 

鳅 : 鲈 0 | 圄 1 | 醚 2 | 匍 3 | 葳 4 | 橇 5 | 勰 6 | 躏 7 | 焖 8 | 恿 9 | 诽 10 | 孑 11 | 奂 12 | 朊 13 | 嗔 14 | 苕 15 | 幛 16 | 悌 17 | 祢 18 | 殍 19 | 

滦 : 榕 0 | 搂 1 | 姬 2 | 殃 3 | 抠 4 | 岌 5 | 粽 6 | 瀛 7 | 喃 8 | 趴 9 | 蝗 10 | 炫 11 | 雌 12 | 檀 13 | 泾 14 | 挟 15 | 蛀 16 | 萋 17 | 嘘 18 | 瞪 19 | 

蜡 : 姬 0 | 雌 1 | 祠 2 | 挟 3 | 仕 4 | 瀛 5 | 萋 6 | 诙 7 | 汩 8 | 琉 9 | 珀 10 | 侗 11 | 虔 12 | 酥 13 | 蚌 14 | 厮 15 | 侮 16 | 匀 17 | 粽 18 | 赡 19 | 

福 : 树 0 | 振 1 | 封 2 | 俱 3 | 铁 4 | 晴 5 | 偏 6 | 季 7 | 黑 8 | 亚 9 | 寨 10 | 挑 11 | 汽 12 | 华 13 | 琛 14 | 云 15 | 仪 16 | 瑞 17 | 边 18 | 浙 19 | 

票 : 债 0 | 伐 1 | 头 2 | 季 3 | 振 4 | 责 5 | 边 6 | 商 7 | 乏 8 | 寨 9 | 幕 10 | 树 11 | 瑞 12 | 钦 13 | 请 14 | 凌 15 | 析 16 | 彻 17 | 核 18 | 富 19 | 

凶 : 醚 0 | 葳 1 | 诽 2 | 嗔 3 | 躏 4 | 勰 5 | 恿 6 | 孑 7 | 朊 8 | 焖 9 | 幛 10 | 苕 11 | 奂 12 | 祢 13 | 悌 14 | 蛐 15 | 殍 16 | 蜷 17 | 啜 18 | 懑 19 | 

潭 : 醚 0 | 葳 1 | 勰 2 | 焖 3 | 恿 4 | 躏 5 | 奂 6 | 苕 7 | 幛 8 | 孑 9 | 朊 10 | 诽 11 | 悌 12 | 嗔 13 | 祢 14 | 殍 15 | 啜 16 | 懑 17 | 艮 18 | 蛐 19 | 

恿 : 醚 0 | 葳 1 | 躏 2 | 恿 3 | 勰 4 | 诽 5 | 嗔 6 | 焖 7 | 孑 8 | 朊 9 | 幛 10 | 奂 11 | 苕 12 | 悌 13 | 祢 14 | 殍 15 | 蛐 16 | 啜 17 | 懑 18 | 蜷 19 | 

扩 : 偏 0 | 落 1 | 避 2 | 采 3 | 扶 4 | 促 5 | 减 6 | 晴 7 | 乃 8 | 琛 9 | 浙 10 | 挑 11 | 某 12 | 封 13 | 密 14 | 敢 15 | 讲 16 | 青 17 | 尤 18 | 树 19 | 

豌 : 醚 0 | 躏 1 | 勰 2 | 恿 3 | 诽 4 | 嗔 5 | 焖 6 | 孑 7 | 朊 8 | 奂 9 | 幛 10 | 苕 11 | 祢 12 | 悌 13 | 殍 14 | 蛐 15 | 啜 16 | 懑 17 | 蜷 18 | 艮 19 | 

蹭 : 醚 0 | 勰 1 | 诽 2 | 躏 3 | 嗔 4 | 孑 5 | 恿 6 | 焖 7 | 朊 8 | 苕 9 | 奂 10 | 幛 11 | 悌 12 | 祢 13 | 殍 14 | 蛐 15 | 啜 16 | 懑 17 | 蜷 18 | 俎 19 | 

拔 : 请 0 | 握 1 | 易 2 | 境 3 | 障 4 | 略 5 | 兵 6 | 惯 7 | 则 8 | 察 9 | 顷 10 | 点 11 | 念 12 | 物 13 | 师 14 | 洪 15 | 索 16 | 务 17 | 鲭 18 | 瑁 19 | 

谦 : 诽 0 | 醚 1 | 嗔 2 | 躏 3 | 孑 4 | 朊 5 | 恿 6 | 焖 7 | 祢 8 | 苕 9 | 蛐 10 | 幛 11 | 悌 12 | 奂 13 | 蜷 14 | 殍 15 | 锃 16 | 鹦 17 | 啜 18 | 懑 19 | 

剽 : 醚 0 | 诽 1 | 躏 2 | 嗔 3 | 恿 4 | 孑 5 | 焖 6 | 朊 7 | 幛 8 | 苕 9 | 奂 10 | 祢 11 | 悌 12 | 殍 13 | 蛐 14 | 啜 15 | 蜷 16 | 懑 17 | 锃 18 | 鹦 19 | 

鹤 : 寨 0 | 躏 1 | 恿 2 | 嗔 3 | 孑 4 | 朊 5 | 焖 6 | 韦 7 | 苕 8 | 祢 9 | 奂 10 | 悌 11 | 蜷 12 | 蛐 13 | 殍 14 | 啜 15 | 懑 16 | 锃 17 | 鹦 18 | 俎 19 | 

警 : 振 0 | 俱 1 | 树 2 | 债 3 | 班 4 | 瑞 5 | 铁 6 | 季 7 | 亚 8 | 仪 9 | 核 10 | 寨 11 | 边 12 | 汽 13 | 华 14 | 商 15 | 韦 16 | 运 17 | 封 18 | 头 19 | 

极 : 望 0 | 然 1 | 握 2 | 点 3 | 幕 4 | 极 5 | 请 6 | 则 7 | 析 8 | 取 9 | 拓 10 | 项 11 | 践 12 | 渐 13 | 面 14 | 切 15 | 步 16 | 持 17 | 批 18 | 彻 19 | 

回 : 树 0 | 偏 1 | 落 2 | 封 3 | 寨 4 | 晴 5 | 季 6 | 凌 7 | 振 8 | 扶 9 | 密 10 | 琛 11 | 挑 12 | 避 13 | 俱 14 | 乃 15 | 伐 16 | 湖 17 | 核 18 | 黑 19 | 

境 : 献 0 | 境 1 | 责 2 | 略 3 | 务 4 | 响 5 | 察 6 | 械 7 | 史 8 | 念 9 | 障 10 | 署 11 | 划 12 | 义 13 | 易 14 | 究 15 | 索 16 | 师 17 | 物 18 | 告 19 | 

坚 : 专 0 | 特 1 | 鼓 2 | 阶 3 | 认 4 | 仪 5 | 投 6 | 防 7 | 运 8 | 文 9 | 俱 10 | 各 11 | 讲 12 | 价 13 | 扶 14 | 亚 15 | 班 16 | 债 17 | 汽 18 | 贯 19 | 

热 : 铁 0 | 汽 1 | 俱 2 | 亚 3 | 伊 4 | 讲 5 | 货 6 | 仪 7 | 运 8 | 防 9 | 班 10 | 污 11 | 文 12 | 黑 13 | 华 14 | 专 15 | 奋 16 | 挑 17 | 战 18 | 社 19 | 

抓 : 挑 0 | 扶 1 | 讲 2 | 琛 3 | 晴 4 | 避 5 | 浙 6 | 封 7 | 落 8 | 俱 9 | 促 10 | 乃 11 | 采 12 | 减 13 | 季 14 | 社 15 | 贯 16 | 汽 17 | 寨 18 | 凌 19 | 

厂 : 季 0 | 请 1 | 凌 2 | 辈 3 | 幕 4 | 伐 5 | 密 6 | 笔 7 | 封 8 | 头 9 | 边 10 | 求 11 | 握 12 | 富 13 | 取 14 | 寨 15 | 落 16 | 得 17 | 敢 18 | 面 19 | 

车 : 头 0 | 富 1 | 瑞 2 | 伐 3 | 债 4 | 边 5 | 钦 6 | 季 7 | 彻 8 | 商 9 | 署 10 | 幕 11 | 班 12 | 械 13 | 请 14 | 河 15 | 密 16 | 易 17 | 伯 18 | 耶 19 | 

型 : 伐 0 | 季 1 | 头 2 | 密 3 | 请 4 | 幕 5 | 富 6 | 凌 7 | 钦 8 | 边 9 | 析 10 | 彻 11 | 瑞 12 | 辈 13 | 商 14 | 晴 15 | 握 16 | 核 17 | 落 18 | 笔 19 | 

责 : 任 0 | 运 1 | 班 2 | 商 3 | 亚 4 | 钦 5 | 核 6 | 惯 7 | 媒 8 | 价 9 | 杯 10 | 仪 11 | 密 12 | 署 13 | 俱 14 | 物 15 | 版 16 | 韦 17 | 易 18 | 富 19 | 

魏 : 朊 0 | 焖 1 | 祢 2 | 蜷 3 | 蛐 4 | 奂 5 | 悌 6 | 殍 7 | 锃 8 | 啜 9 | 鹦 10 | 懑 11 | 幺 12 | 豇 13 | 锴 14 | 缳 15 | 鏊 16 | 俎 17 | 魇 18 | 艮 19 | 

睛 : 佩 0 | 旋 1 | 泊 2 | 冈 3 | 杉 4 | 菊 5 | 淑 6 | 溪 7 | 潭 8 | 撼 9 | 彦 10 | 肤 11 | 纱 12 | 叉 13 | 霞 14 | 穴 15 | 梯 16 | 饰 17 | 暖 18 | 颂 19 | 

五 : 此 0 | 你 1 | 近 2 | 得 3 | 今 4 | 避 5 | 只 6 | 减 7 | 他 8 | 亲 9 | 落 10 | 取 11 | 求 12 | 渐 13 | 密 14 | 某 15 | 辈 16 | 扶 17 | 敢 18 | 采 19 | 

帽 : 焖 0 | 朊 1 | 奂 2 | 悌 3 | 祢 4 | 殍 5 | 啜 6 | 蛐 7 | 懑 8 | 俎 9 | 蜷 10 | 艮 11 | 魇 12 | 鹦 13 | 锃 14 | 漕 15 | 凌 16 | 鏊 17 | 杲 18 | 缳 19 | 

群 : 鼓 0 | 特 1 | 阶 2 | 认 3 | 专 4 | 各 5 | 减 6 | 坚 7 | 扶 8 | 采 9 | 青 10 | 试 11 | 乃 12 | 避 13 | 促 14 | 继 15 | 某 16 | 开 17 | 仪 18 | 湖 19 | 

拳 : 蚊 0 | 敖 1 | 窘 2 | 彬 3 | 焉 4 | 迢 5 | 觅 6 | 诠 7 | 盏 8 | 枢 9 | 苛 10 | 躯 11 | 涅 12 | 擂 13 | 摒 14 | 霓 15 | 帷 16 | 屏 17 | 娅 18 | 巧 19 | 

笮 : 獭 0 | 楣 1 | 岷 2 | 盹 3 | 脓 4 | 赓 5 | 觞 6 | 孽 7 | 隽 8 | 硼 9 | 糠 10 | 漱 11 | 稣 12 | 陛 13 | 菩 14 | 峁 15 | 珲 16 | → 17 | 糅 18 | 燧 19 | 

莒 : 朊 0 | 奂 1 | 祢 2 | 殍 3 | 蛐 4 | 啜 5 | 懑 6 | 蜷 7 | 锃 8 | 俎 9 | 鹦 10 | 艮 11 | 锴 12 | 幺 13 | 缳 14 | 鏊 15 | 魇 16 | 豇 17 | 漕 18 | 杲 19 | 

宓 : 朊 0 | 奂 1 | 祢 2 | 殍 3 | 啜 4 | 蛐 5 | 懑 6 | 蜷 7 | 俎 8 | 艮 9 | 锃 10 | 魇 11 | 鹦 12 | 锴 13 | 鏊 14 | 缳 15 | 幺 16 | 漕 17 | 杲 18 | 豇 19 | 

羌 : 朊 0 | 奂 1 | 祢 2 | 殍 3 | 蛐 4 | 懑 5 | 蜷 6 | 俎 7 | 锃 8 | 鹦 9 | 艮 10 | 幺 11 | 魇 12 | 缳 13 | 锴 14 | 鏊 15 | 漕 16 | 豇 17 | 杲 18 | 溆 19 | 

握 : 析 0 | 伐 1 | 幕 2 | 彻 3 | 头 4 | 瑞 5 | 富 6 | 商 7 | 边 8 | 握 9 | 请 10 | 械 11 | 钦 12 | 凌 13 | 密 14 | 署 15 | 媒 16 | 辈 17 | 易 18 | 艘 19 | 

测 : 械 0 | 析 1 | 彻 2 | 署 3 | 伐 4 | 钦 5 | 幕 6 | 瑞 7 | 头 8 | 易 9 | 富 10 | 献 11 | 请 12 | 握 13 | 惯 14 | 耶 15 | 媒 16 | 伯 17 | 商 18 | 兵 19 | 

拥 : 琛 0 | 乃 1 | 封 2 | 俱 3 | 挑 4 | 晴 5 | 浙 6 | 扶 7 | 避 8 | 龚 9 | 讲 10 | 凌 11 | 敢 12 | 汽 13 | 辈 14 | 韦 15 | 落 16 | 某 17 | 仪 18 | 班 19 | 

仲 : 翰 0 | 躯 1 | 觅 2 | 纂 3 | 钊 4 | 冕 5 | 彬 6 | 娅 7 | 啸 8 | 枢 9 | 迢 10 | 擂 11 | 拌 12 | 璐 13 | 涅 14 | 榻 15 | 墅 16 | 恤 17 | 谆 18 | 榴 19 | 

銮 : 慵 0 | 鼾 1 | 绻 2 | 蹇 3 | 魇 4 | 笞 5 | 裟 6 | 杲 7 | 琰 8 | 艮 9 | 缳 10 | 饬 11 | 铳 12 | 鏊 13 | 渌 14 | 棰 15 | 酊 16 | 鳏 17 | 樨 18 | 仝 19 | 

骁 : 祢 0 | 殍 1 | 鹦 2 | 魇 3 | 艮 4 | 缳 5 | 鏊 6 | 豇 7 | 锴 8 | 俎 9 | 漕 10 | 慵 11 | 溆 12 | 杲 13 | 鳏 14 | 鼾 15 | 裟 16 | 渌 17 | 笞 18 | 琰 19 | 

阚 : 胪 0 | 嫡 1 | 佞 2 | 罟 3 | 鲱 4 | 昀 5 | 猗 6 | 绂 7 | 倭 8 | 阚 9 | 崂 10 | 暌 11 | 薮 12 | 槎 13 | 龉 14 | 哧 15 | 喹 16 | 仨 17 | 啭 18 | 腱 19 | 

者 : 湖 0 | 黑 1 | 云 2 | 晴 3 | 华 4 | 落 5 | 浙 6 | 挑 7 | 边 8 | 笔 9 | 封 10 | 讲 11 | 河 12 | 将 13 | 得 14 | 凌 15 | 社 16 | 头 17 | 已 18 | 批 19 | 

３ : 谈 0 | 特 1 | 各 2 | 阶 3 | 认 4 | 专 5 | 课 6 | 语 7 | 目 8 | 赞 9 | 之 10 | 采 11 | 欢 12 | 试 13 | 回 14 | 约 15 | 鼓 16 | 开 17 | 减 18 | 农 19 | 

社 : 亚 0 | 任 1 | 社 2 | 运 3 | 班 4 | 落 5 | 商 6 | 采 7 | 乃 8 | 扶 9 | 密 10 | 封 11 | 讲 12 | 某 13 | 专 14 | 挑 15 | 核 16 | 认 17 | 华 18 | 仪 19 | 

饰 : 俎 0 | 魇 1 | 鹦 2 | 艮 3 | 漕 4 | 缳 5 | 锴 6 | 杲 7 | 鏊 8 | 豇 9 | 萸 10 | 鳏 11 | 溆 12 | 笞 13 | 咭 14 | 慵 15 | 渌 16 | 裟 17 | 琰 18 | 蹇 19 | 

详 : 琛 0 | 晴 1 | 乃 2 | 浙 3 | 挑 4 | 龚 5 | 封 6 | 避 7 | 凌 8 | 韦 9 | 辈 10 | 扶 11 | 鹦 12 | 鏊 13 | 锴 14 | 缳 15 | 豇 16 | 鳏 17 | 俎 18 | 鼾 19 | 

踪 : 伐 0 | 凌 1 | 艮 2 | 俎 3 | 魇 4 | 杲 5 | 漕 6 | 锴 7 | 鹦 8 | 鏊 9 | 缳 10 | 笞 11 | 萸 12 | 豇 13 | 琰 14 | 咭 15 | 裟 16 | 慵 17 | 渌 18 | 溆 19 | 

裁 : 琛 0 | 封 1 | 挑 2 | 乃 3 | 晴 4 | 浙 5 | 辈 6 | 凌 7 | 艘 8 | 敢 9 | 龚 10 | 汽 11 | 韦 12 | 避 13 | 笔 14 | 扶 15 | 瑞 16 | 边 17 | 落 18 | 铁 19 | 

误 : 械 0 | 彻 1 | 析 2 | 署 3 | 献 4 | 伐 5 | 幕 6 | 头 7 | 富 8 | 请 9 | 瑞 10 | 钦 11 | 易 12 | 境 13 | 握 14 | 兵 15 | 伯 16 | 略 17 | 耶 18 | 惯 19 | 

架 : 伐 0 | 钦 1 | 凌 2 | 晴 3 | 头 4 | 富 5 | 韦 6 | 密 7 | 瑞 8 | 辈 9 | 幕 10 | 请 11 | 核 12 | 彻 13 | 耶 14 | 艮 15 | 惯 16 | 魇 17 | 杲 18 | 鹦 19 | 

汤 : 眉 0 | 滴 1 | 磨 2 | 挫 3 | 赣 4 | 谦 5 | 苍 6 | 雇 7 | 欲 8 | 颜 9 | 闲 10 | 斑 11 | 劝 12 | 皇 13 | 扣 14 | 恒 15 | 帅 16 | 咸 17 | 沪 18 | 竣 19 | 

赓 : 艮 0 | 魇 1 | 缳 2 | 豇 3 | 漕 4 | 杲 5 | 萸 6 | 鳏 7 | 溆 8 | 笞 9 | 裟 10 | 渌 11 | 鼾 12 | 慵 13 | 咭 14 | 琰 15 | 绻 16 | 饬 17 | 蹇 18 | 酊 19 | 

