<unk>591 : 卖 0 | 迷 1 | 亮 2 | 
<unk>4,698 : 孑 0 | 朊 1 | 苕 2 | 

<unk>1,047 : 课 0 | 菲 1 | 俱 2 | 

<unk>1,041 : 幸 0 | 叫 1 | 截 2 | 

<unk>4,452 : 铣 0 | 唆 1 | 挛 2 | 

<unk>1,689 : 俱 0 | 骤 1 | 琛 2 | 

<unk>3,918 : 疹 0 | 禧 1 | 淆 2 | 

<unk>1,686 : 骤 0 | 钺 1 | 藜 2 | 

<unk>4,458 : 倭 0 | 崂 1 | 鞣 2 | 

<unk>1,683 : 鞣 0 | 虱 1 | 阚 2 | 

<unk>1,680 : 钺 0 | 逢 1 | 藜 2 | 

<unk>3,411 : 蹴 0 | 钺 1 | 跚 2 | 

<unk>1,266 : 笔 0 | 敢 1 | 避 2 | 

<unk>3,414 : 淇 0 | 聩 1 | 跆 2 | 

<unk>1,260 : 截 0 | 琛 1 | 叫 2 | 

<unk>1,263 : 贝 0 | 曼 1 | 耶 2 | 

<unk>3,417 : 仨 0 | 塍 1 | 薮 2 | 

<unk>1,269 : 叫 0 | 妈 1 | 琛 2 | 

<unk>2,805 : 倨 0 | 鬣 1 | 筚 2 | 

<unk>1,461 : 振 0 | 妈 1 | 奇 2 | 

<unk>1,467 : 琛 0 | 乃 1 | 妥 2 | 

<unk>2,919 : 藜 0 | 聩 1 | 郜 2 | 

<unk>1,464 : 撅 0 | 钽 1 | 泫 2 | 

<unk>2,916 : 藜 0 | 郜 1 | 蜻 2 | 

<unk>2,910 : 蜻 0 | 郜 1 | 聩 2 | 

<unk>2,913 : 蜻 0 | 郜 1 | 貂 2 | 

<unk>1,311 : 妈 0 | 末 1 | 愫 2 | 

<unk>1,314 : 染 0 | 械 1 | 彻 2 | 

<unk>1,317 : 末 0 | 寨 1 | 伐 2 | 

<unk>3,564 : 碉 0 | 岷 1 | 岫 2 | 

<unk>3,567 : 珑 0 | 薹 1 | 瑜 2 | 

<unk>3,561 : 愫 0 | 柩 1 | 昶 2 | 

<unk>4,344 : 酩 0 | 苕 1 | 鳅 2 | 

<unk>3,960 : 钛 0 | 珞 1 | 遒 2 | 

<unk>3,963 : 柩 0 | 摈 1 | 貂 2 | 

<unk>3,966 : 攥 0 | 掖 1 | 濮 2 | 

<unk>3,969 : 槌 0 | 撇 1 | 掰 2 | 

<unk>2,229 : 昶 0 | 摈 1 | 貂 2 | 

<unk>2,226 : 淤 0 | 烦 1 | 翠 2 | 

<unk>3,741 : 蜕 0 | 逍 1 | 眩 2 | 

<unk>3,744 : 貂 0 | 昶 1 | 酗 2 | 

<unk>2,223 : 芝 0 | 藤 1 | 翠 2 | 

<unk>2,220 : 酗 0 | 昶 1 | 梏 2 | 

<unk>3,747 : 酗 0 | 梏 1 | 戥 2 | 

<unk>3,981 : 戥 0 | 姹 1 | 挛 2 | 

<unk>3,987 : 嵘 0 | 鹜 1 | 孢 2 | 

<unk>3,984 : 蔺 0 | 钎 1 | 岫 2 | 

<unk>150 : 驻 0 | 等 1 | 核 2 | 

<unk>153 : 边 0 | 批 1 | 笔 2 | 

<unk>156 : 语 0 | 卫 1 | 商 2 | 

<unk>405 : 卫 0 | 语 1 | 奇 2 | 

<unk>159 : 彻 0 | 乏 1 | 士 2 | 

<unk>408 : 空 0 | 伤 1 | 歌 2 | 

<unk>2,133 : 菌 0 | 翠 1 | 衔 2 | 

<unk>2,130 : 叠 0 | 柔 1 | 抄 2 | 

<unk>2,688 : 沛 0 | 崖 1 | 焰 2 | 

<unk>2,685 : 擂 0 | 窘 1 | 刁 2 | 

<unk>2,139 : 匍 0 | 圄 1 | 唆 2 | 

<unk>2,682 : 匍 0 | 鲈 1 | 唆 2 | 

<unk>3,348 : 唆 0 | 醚 1 | 茭 2 | 

<unk>3,345 : 榕 0 | 搂 1 | 姬 2 | 

<unk>3,342 : 姬 0 | 雌 1 | 祠 2 | 

<unk>717 : 奇 0 | 封 1 | 晴 2 | 

<unk>714 : 伐 0 | 商 1 | 贵 2 | 

<unk>2,355 : 诽 0 | 銮 1 | 骁 2 | 

<unk>2,352 : 橇 0 | 骁 1 | 銮 2 | 

<unk>4,059 : 骁 0 | 啾 1 | 橇 2 | 

<unk>711 : 落 0 | 避 1 | 扶 2 | 

<unk>4,056 : 啾 0 | 娲 1 | 勰 2 | 

<unk>4,053 : 啾 0 | 娲 1 | 銮 2 | 

<unk>1,245 : 易 0 | 略 1 | 兵 2 | 

<unk>2,358 : 嗔 0 | 銮 1 | 芊 2 | 

<unk>4,050 : 銮 0 | 芊 1 | 嗔 2 | 

<unk>1,965 : 寨 0 | 芊 1 | 恿 2 | 

<unk>624 : 贵 0 | 班 1 | 瑞 2 | 

<unk>393 : 望 0 | 乏 1 | 然 2 | 

<unk>390 : 封 0 | 晴 1 | 凌 2 | 

<unk>396 : 境 0 | 略 1 | 务 2 | 

<unk>399 : 特 0 | 阶 1 | 认 2 | 

<unk>579 : 汽 0 | 亚 1 | 伊 2 | 

<unk>573 : 挑 0 | 邀 1 | 扶 2 | 

<unk>570 : 请 0 | 凌 1 | 辈 2 | 

<unk>333 : 富 0 | 瑞 1 | 士 2 | 

<unk>576 : 密 0 | 富 1 | 凌 2 | 

<unk>378 : 任 0 | 班 1 | 商 2 | 

<unk>1,869 : 恿 0 | 朊 1 | 幛 2 | 

<unk>1,866 : 佩 0 | 旋 1 | 泊 2 | 

<unk>372 : 你 0 | 近 1 | 得 2 | 

<unk>1,863 : 焖 0 | 苕 1 | 朊 2 | 

<unk>375 : 阶 0 | 认 1 | 邀 2 | 

<unk>1,860 : 钊 0 | 敖 1 | 栩 2 | 

<unk>4,209 : 獭 0 | 楣 1 | 岷 2 | 

<unk>4,206 : 奂 0 | 悌 1 | 殍 2 | 

<unk>4,203 : 奂 0 | 殍 1 | 啜 2 | 

<unk>4,200 : 殍 0 | 蛐 1 | 啜 2 | 

<unk>978 : 析 0 | 乏 1 | 瑞 2 | 

<unk>975 : 械 0 | 析 1 | 乏 2 | 

<unk>972 : 乃 0 | 邀 1 | 妥 2 | 

<unk>2,097 : 躯 0 | 觅 1 | 忱 2 | 

<unk>4,512 : 慵 0 | 蚤 1 | 鼾 2 | 

<unk>4,515 : 锃 0 | 懑 1 | 鹦 2 | 

<unk>4,518 : 胪 0 | 嫡 1 | 佞 2 | 

<unk>84 : 湖 0 | 黑 1 | 云 2 | 

<unk>87 : 谈 0 | 特 1 | 各 2 | 

<unk>81 : 亚 0 | 社 1 | 班 2 | 

<unk>1,785 : 俎 0 | 蜷 1 | 懑 2 | 

<unk>1,782 : 晴 0 | 妥 1 | 浙 2 | 

<unk>1,788 : 凌 0 | 懑 1 | 艮 2 | 

<unk>1,071 : 妥 0 | 浙 1 | 辈 2 | 

<unk>1,074 : 乏 0 | 售 1 | 鹏 2 | 

<unk>1,077 : 钦 0 | 韦 1 | 瑞 2 | 

<unk>1,671 : 眉 0 | 滴 1 | 磨 2 | 

<unk>4,422 : 懑 0 | 蚤 1 | 艮 2 | 

<unk>1,677 : 韦 0 | 耶 1 | 惯 2 | 

<unk>1,674 : 韦 0 | 锴 1 | 幺 2 | 

<unk>4,428 : 蚤 0 | 魇 1 | 艮 2 | 

<unk>3,405 : 琉 0 | 厮 1 | 涿 2 | 

<unk>3,402 : 钵 0 | 褥 1 | 篓 2 | 

<unk>1,092 : 瑞 0 | 耶 1 | 西 2 | 

<unk>3,408 : 绮 0 | 殚 1 | 篑 2 | 

<unk>1,416 : 龚 0 | 锴 1 | 缳 2 | 

<unk>2,901 : 艮 0 | 魇 1 | 漕 2 | 

<unk>2,907 : 刁 0 | 摒 1 | 苛 2 | 

<unk>1,413 : 恒 0 | 码 1 | 孕 2 | 

<unk>1,410 : 欲 0 | 滴 1 | 斑 2 | 

<unk>2,904 : 魇 0 | 缳 1 | 漕 2 | 

<unk>4,731 : 哧 0 | 鲱 1 | 槎 2 | 

<unk>4,737 : 魇 0 | 杲 1 | 笞 2 | 

<unk>4,734 : 煸 0 | 裟 1 | 铳 2 | 

<unk>1,419 : 滴 0 | 码 1 | 闲 2 | 

<unk>3,579 : 豇 0 | 漕 1 | 杲 2 | 

<unk>1,329 : 漕 0 | 鳏 1 | 溆 2 | 

<unk>3,573 : 漕 0 | 鳏 1 | 溆 2 | 

<unk>1,326 : 辈 0 | 艘 1 | 萸 2 | 

<unk>3,570 : 溆 0 | 萸 1 | 笞 2 | 

<unk>1,320 : 浙 0 | 邀 1 | 避 2 | 

<unk>3,576 : 萸 0 | 笞 1 | 裟 2 | 

<unk>1,323 : 媒 0 | 惯 1 | 班 2 | 

<unk>3,975 : 窦 0 | 逍 1 | 眩 2 | 

<unk>3,972 : 鼾 0 | 笞 1 | 渌 2 | 

<unk>1,044 : 菲 0 | 俱 1 | 课 2 | 

<unk>525 : 灌 0 | 阵 1 | 盗 2 | 

<unk>1,521 : 仪 0 | 班 1 | 渌 2 | 

<unk>1,254 : 河 0 | 西 1 | 云 2 | 

<unk>1,527 : 缆 0 | 玛 1 | 饰 2 | 

<unk>1,524 : 班 0 | 核 1 | 惯 2 | 

<unk>3,978 : 叽 0 | 孽 1 | 偕 2 | 

<unk>2,238 : 渌 0 | 笞 1 | 咭 2 | 

<unk>3,759 : 渌 0 | 笞 1 | 琰 2 | 

<unk>2,235 : 咭 0 | 笞 1 | 琰 2 | 

<unk>3,756 : 咭 0 | 琰 1 | 蹇 2 | 

<unk>3,753 : 琰 0 | 绻 1 | 蹇 2 | 

<unk>3,750 : 笃 0 | 垢 1 | 吭 2 | 

<unk>3,999 : 绻 0 | 饬 1 | 酊 2 | 

<unk>3,990 : 蚨 0 | 蜃 1 | 噎 2 | 

<unk>3,993 : 匣 0 | 徨 1 | 糯 2 | 

<unk>3,996 : 绻 0 | 酊 1 | 樨 2 | 

<unk>4,599 : 铳 0 | 棰 1 | 仝 2 | 

<unk>414 : 障 0 | 响 1 | 括 2 | 

<unk>417 : 车 0 | 头 1 | 谢 2 | 

<unk>411 : 架 0 | 掉 1 | 册 2 | 

<unk>4,455 : 仝 0 | 棰 1 | 幔 2 | 

<unk>144 : 求 0 | 切 1 | 取 2 | 

<unk>4,197 : 棰 0 | 馗 1 | 罘 2 | 

<unk>4,194 : 棰 0 | 馗 1 | 罘 2 | 

<unk>4,191 : 豌 0 | 妖 1 | 偕 2 | 

<unk>2,121 : 馗 0 | 嚏 1 | 腱 2 | 

<unk>2,691 : 馗 0 | 鹩 1 | 婕 2 | 

<unk>3,192 : 嚏 0 | 幔 1 | 婕 2 | 

<unk>3,195 : 炯 0 | 剔 1 | 衅 2 | 

<unk>2,124 : 岙 0 | 碚 1 | 猗 2 | 

<unk>2,127 : 枥 0 | 婕 1 | 倭 2 | 

<unk>2,694 : 婕 0 | 枥 1 | 碚 2 | 

<unk>3,198 : 伶 0 | 姬 1 | 搂 2 | 

<unk>3,351 : 猗 0 | 倭 1 | 诰 2 | 

<unk>3,357 : 崂 0 | 鞣 1 | 阚 2 | 

<unk>3,354 : 拴 0 | 膛 1 | 帧 2 | 

<unk>3,423 : 鞣 0 | 阚 1 | 佞 2 | 

<unk>1,851 : 阚 0 | 仨 1 | 猬 2 | 

<unk>708 : 士 0 | 署 1 | 售 2 | 

<unk>3,048 : 腕 0 | 佣 1 | 剔 2 | 

<unk>705 : 避 0 | 敢 1 | 某 2 | 

<unk>2,346 : 峙 0 | 瞻 1 | 宠 2 | 

<unk>2,340 : 冤 0 | 沾 1 | 溜 2 | 

<unk>2,343 : 鳝 0 | 佞 1 | 塍 2 | 

<unk>2,349 : 佞 0 | 仨 1 | 鳝 2 | 

<unk>2,295 : 仨 0 | 佞 1 | 塍 2 | 

<unk>3,042 : 塍 0 | 罟 1 | 衩 2 | 

<unk>384 : 鹏 0 | 点 1 | 握 2 | 

<unk>387 : 批 0 | 项 1 | 点 2 | 

<unk>381 : 某 0 | 杯 1 | 储 2 | 

<unk>564 : 伯 0 | 洪 1 | 储 2 | 

<unk>567 : 得 0 | 以 1 | 敢 2 | 

<unk>561 : 敢 0 | 握 1 | 取 2 | 

<unk>1,893 : 洽 0 | 彬 1 | 斧 2 | 

<unk>369 : 创 0 | 扩 1 | 目 2 | 

<unk>1,896 : 牡 0 | 芭 1 | 鲍 2 | 

<unk>363 : 认 0 | 讲 1 | 投 2 | 

<unk>360 : 藏 0 | 值 1 | 责 2 | 

<unk>366 : 商 0 | 华 1 | 握 2 | 

<unk>4,218 : 熹 0 | 葩 1 | 簌 2 | 

<unk>4,215 : 羹 0 | 睬 1 | 糯 2 | 

<unk>4,212 : 龉 0 | 喹 1 | 昀 2 | 

<unk>960 : 华 0 | 售 1 | 洪 2 | 

<unk>963 : 杯 0 | 储 1 | 惯 2 | 

<unk>966 : 讲 0 | 促 1 | 黑 2 | 

<unk>969 : 储 0 | 云 1 | 黑 2 | 

<unk>2,592 : 昀 0 | ° 1 | 鲱 2 | 

<unk>816 : 卷 0 | 写 1 | 贴 2 | 

<unk>4,500 : 笪 0 | 摈 1 | 莒 2 | 

<unk>4,503 : 鲱 0 | 槎 1 | 腈 2 | 

<unk>4,506 : 甙 0 | 龉 1 | 喹 2 | 

<unk>4,509 : 槎 0 | 亻 1 | ° 2 | 

<unk>93 : 以 0 | 已 1 | 将 2 | 

<unk>90 : 以 0 | 已 1 | 青 2 | 

<unk>96 : 价 0 | 安 1 | 社 2 | 

<unk>99 : 等 0 | 面 1 | 要 2 | 

<unk>1,794 : ° 0 | 蟑 1 | 亻 2 | 

<unk>1,797 : ° 0 | 亻 1 | 殁 2 | 

<unk>1,791 : 萤 0 | 腈 1 | 嗯 2 | 

<unk>1,065 : 黑 0 | 云 1 | 顷 2 | 

<unk>1,062 : 顷 0 | 惯 1 | 奋 2 | 

<unk>2,241 : 惯 0 | 煊 1 | 蔷 2 | 

<unk>1,068 : 云 0 | 撅 1 | 嗯 2 | 

<unk>4,434 : 畿 0 | 烬 1 | 笪 2 | 

<unk>4,437 : 嗯 0 | 儡 1 | 煊 2 | 

<unk>1,662 : 煊 0 | 谶 1 | 蔷 2 | 

<unk>4,431 : 锑 0 | 芊 1 | 啾 2 | 

<unk>1,668 : 儡 0 | 楔 1 | 谶 2 | 

<unk>2,850 : 谶 0 | 撅 1 | 螂 2 | 

<unk>1,089 : 售 0 | 署 1 | 易 2 | 

<unk>777 : 点 0 | 则 1 | 面 2 | 

<unk>1,080 : 奋 0 | 销 1 | 货 2 | 

<unk>1,083 : 董 0 | 滨 1 | 奋 2 | 

<unk>1,086 : 青 0 | 促 1 | 尤 2 | 

<unk>3,306 : 殉 0 | 炕 1 | 虞 2 | 

<unk>3,723 : 钽 0 | 蚱 1 | 泫 2 | 

<unk>4,254 : 笈 0 | 忪 1 | 绾 2 | 

<unk>4,620 : 蚱 0 | 钽 1 | 泫 2 | 

<unk>2,976 : 蚱 0 | 泫 1 | 笈 2 | 

<unk>4,728 : 啭 0 | 猗 1 | 罘 2 | 

<unk>1,407 : 汗 0 | 烨 1 | 幢 2 | 

<unk>1,401 : 淡 0 | 漏 1 | 迷 2 | 

<unk>2,973 : 胥 0 | 钺 1 | 跆 2 | 

<unk>2,970 : 鲷 0 | 遑 1 | 笈 2 | 

<unk>4,722 : 鳅 0 | 啜 1 | 炀 2 | 

<unk>4,725 : 鲷 0 | 蕻 1 | 笈 2 | 

<unk>4,392 : 遑 0 | 笈 1 | 箢 2 | 

<unk>2,979 : 峭 0 | 逗 1 | 颐 2 | 

<unk>1,332 : 署 0 | 易 1 | 略 2 | 

<unk>1,335 : 货 0 | 伊 1 | 社 2 | 

<unk>3,507 : 绾 0 | 忪 1 | 箢 2 | 

<unk>3,504 : 钺 0 | 淇 1 | 聩 2 | 

<unk>1,338 : 讣 0 | 喱 1 | 锗 2 | 

<unk>3,501 : 箢 0 | 锗 1 | 铩 2 | 

<unk>1,539 : 诒 0 | 扪 1 | 跫 2 | 

<unk>2,808 : 诒 0 | 扪 1 | 锗 2 | 

<unk>1,248 : 渐 0 | 喱 1 | 嵋 2 | 

<unk>3,726 : 禧 0 | 熹 1 | 啪 2 | 

<unk>1,530 : 锗 0 | 蒗 1 | 喱 2 | 

<unk>1,533 : 曼 0 | 钦 1 | 韦 2 | 

<unk>1,242 : 滨 0 | 夫 1 | 兵 2 | 

<unk>1,536 : 饧 0 | 耷 1 | 苋 2 | 

<unk>2,202 : 赋 0 | 崭 1 | 陪 2 | 

<unk>2,751 : 饧 0 | 桀 1 | 鹚 2 | 

<unk>2,757 : 羞 0 | 绚 1 | 祈 2 | 

<unk>2,754 : 鹚 0 | 轫 1 | 嵋 2 | 

<unk>2,208 : 桀 0 | 轫 1 | 嵋 2 | 

<unk>3,213 : 芹 0 | 秃 1 | 壑 2 | 

<unk>3,210 : 阂 0 | 佣 1 | 藉 2 | 

<unk>3,216 : 轫 0 | 嵋 1 | 缱 2 | 

<unk>3,219 : 嵋 0 | 缱 1 | 诌 2 | 

<unk>3,135 : 嵋 0 | 鲭 1 | 诌 2 | 

<unk>3,699 : 阚 0 | 仨 1 | 佞 2 | 

<unk>3,696 : 誊 0 | 屐 1 | 氵 2 | 

<unk>3,693 : 誊 0 | 鲭 1 | 璎 2 | 

<unk>3,690 : 璎 0 | 屐 1 | 蟾 2 | 

<unk>177 : 各 0 | 继 1 | 之 2 | 

<unk>174 : 增 0 | 亲 1 | 之 2 | 

<unk>4,188 : 蟾 0 | 氵 1 | 蕲 2 | 

<unk>171 : 亲 0 | 晚 1 | 取 2 | 

<unk>4,185 : 鳕 0 | 胛 1 | 氵 2 | 

<unk>4,182 : 氵 0 | 蕲 1 | 胛 2 | 

<unk>2,115 : 艘 0 | 敢 1 | 笔 2 | 

<unk>2,112 : 氵 0 | 蕲 1 | 嗟 2 | 

<unk>2,118 : 氵 0 | 胛 1 | 簋 2 | 

<unk>3,327 : 氵 0 | 嗟 1 | 胛 2 | 

<unk>3,324 : 罟 0 | 甙 1 | 龉 2 | 

<unk>3,321 : 髦 0 | 膛 1 | 廓 2 | 

<unk>2,385 : 绚 0 | 愚 1 | 冤 2 | 

<unk>2,595 : 龌 0 | 蟑 1 | 鲱 2 | 

<unk>2,598 : 胛 0 | 榉 1 | 亍 2 | 

<unk>2,379 : 嫱 0 | 殁 1 | 儡 2 | 

<unk>2,370 : 翠 0 | 猫 1 | 毯 2 | 

<unk>2,373 : 龊 0 | 蚱 1 | 泫 2 | 

<unk>771 : 点 0 | 则 1 | 略 2 | 

<unk>2,376 : 榉 0 | 亍 1 | 倨 2 | 

<unk>2,571 : 髋 0 | 倨 1 | 鬣 2 | 

<unk>2,577 : 铩 0 | 锗 1 | 箢 2 | 

<unk>2,574 : 倨 0 | 髋 1 | 氽 2 | 

<unk>3,039 : 倨 0 | 鬣 1 | 筚 2 | 

<unk>3,033 : 鲭 0 | 誊 1 | 跫 2 | 

<unk>3,030 : 亍 0 | 筚 1 | 噘 2 | 

<unk>3,036 : 枰 0 | 胛 1 | 氵 2 | 

